code,question,option
Q00,Do you have own phone?,
Q01,Farmer's phone number,
Q02,What is your age? (Enumerator instruction: Do NOT read options; classify response according to the options.),
Q03,What is your gender? (Enumerator instruction: READ all options. Make farmer choose one option only.),
Q06,which crop did you grow during past 3 months?,
Q06_a,which crop did you grow during past 3 months?,Rice
Q06_b,which crop did you grow during past 3 months?,Sesame
Q06_c,which crop did you grow during past 3 months?,Groundnut
Q06_d,which crop did you grow during past 3 months?,Pulses
Q06_e,which crop did you grow during past 3 months?,Vegetables
Q06_f,which crop did you grow during past 3 months?,Flowers
Q06_g,which crop did you grow during past 3 months?,Long-term trees
Q06_h,which crop did you grow during past 3 months?,Chili
Q06_i,which crop did you grow during past 3 months?,Tomato
Q06_j,which crop did you grow during past 3 months?,Onion
Q06_k,which crop did you grow during past 3 months?,Green Gram
Q06_l,which crop did you grow during past 3 months?,Black Gram
Q06_m,which crop did you grow during past 3 months?,Chickpea
Q06_n,which crop did you grow during past 3 months?,other
Q06_other_text,"If other, please specify.",
Q07,Do they share their phone in their households?,
Q07_a,Do they share their phone in their households?,Children
Q07_b,Do they share their phone in their households?,Spouse
Q07_c,Do they share their phone in their households?,Cousin
Q07_d,Do they share their phone in their households?,Parents
Q07_e,Do they share their phone in their households?,Others
Q07_f,Do they share their phone in their households?,I don't share with anyone
Q07_other_text,"If other, please specify.",
Q08,Do you have an access to the internet?,
Q09,"When he/she face need advice for their farms, how do they seek the advice and suggestions?",
Q09_a,"When he/she face need advice for their farms, how do they seek the advice and suggestions?",Asking the friend farmers
Q09_b,"When he/she face need advice for their farms, how do they seek the advice and suggestions?",Searching on social media channels
Q09_c,"When he/she face need advice for their farms, how do they seek the advice and suggestions?",Input shops
Q09_d,"When he/she face need advice for their farms, how do they seek the advice and suggestions?",Calling to Yetagon or Proximity Designs
Q09_e,"When he/she face need advice for their farms, how do they seek the advice and suggestions?",Calling to other organisations
Q09_f,"When he/she face need advice for their farms, how do they seek the advice and suggestions?",Others
Q09_other_text,"If other, please specify",
Q10,Which social media channels are they using day to day ?,
Q10_a,Which social media channels are they using day to day ?,Facebook
Q10_b,Which social media channels are they using day to day ?,Youtube
Q10_c,Which social media channels are they using day to day ?,Titok
Q10_d,Which social media channels are they using day to day ?,Viber
Q10_e,Which social media channels are they using day to day ?,Instagram
Q10_f,Which social media channels are they using day to day ?,Messenger
Q10_g,Which social media channels are they using day to day ?,Others
Q10_other_text,"If other, please specify",
Q11,What time do they use internet?,
Q11_a,What time do they use internet?,Morning
Q11_b,What time do they use internet?,Afternoon
Q11_c,What time do they use internet?,Evening
Q11_d,What time do they use internet?,Night
Q12,[FACEBOOK & Messenger]  What do they use it for?,
Q12_a,[FACEBOOK & Messenger]  What do they use it for?,To read the news
Q12_b,[FACEBOOK & Messenger]  What do they use it for?,To find information about farming
Q12_c,[FACEBOOK & Messenger]  What do they use it for?,To contact with friends and family
Q12_d,[FACEBOOK & Messenger]  What do they use it for?,For entertainment
Q12_e,[FACEBOOK & Messenger]  What do they use it for?,Other
Q12_other_text,"If other, please specify",
Q13,[FACEBOOK] What are the key challenges for using Facebook?,
Q13_a,[FACEBOOK] What are the key challenges for using Facebook?,too complicated to use
Q13_b,[FACEBOOK] What are the key challenges for using Facebook?,Poor Internet
Q13_c,[FACEBOOK] What are the key challenges for using Facebook?,Internet price are so expensive
Q13_d,[FACEBOOK] What are the key challenges for using Facebook?,Have to change the mobile numbers due to the poor connection
Q13_e,[FACEBOOK] What are the key challenges for using Facebook?,Others
Q13_other_text,"If other,please specify.",
