Both,Direct
Aunglan,Chauk
Gyobingauk,Gangaw
Hopong,Mindon
Kalaw,Myaing
Kamma,Ngape
Lawksawk,Pakokku
Letpadan,Pauk
Lewe,Pwint Phyu
Magway,Saw
Mahlaing,Sidoktaya
Meiktila,Taungtha
Minbu,Yesagyo
Minhla,Kale
Monyo,Kyaukme
Myothit,Kyaukpadaung
Natmauk,Kyaukse
Nattalin,Madaya
Nyaunglebin,Maymyo
Nyaungshwe,Mogok
Okpho,Myingyan
Patheingyi,Myittha
Paungde,Natogyi
Phyu,Ngazun
Pindaya,Singu
Pinlaung,Tada-U
Pwintbyu,Thabeikkyin
Pyawbwe,Wundwin
Pyay,Banmauk
Salin,Budalin
Shwedaung,Indaw
Sinbaungwe,Kalewa
Tatkon,Kanbalu
Taungdwingyi,Kani
Taunggyi,Katha
Thayet,Kawlin
Thazi,Kyunhla
Thegon,Lahe
Yamethin,Layshi
Yedashe,Mawlaik
Yenangyaung,Mingin
Yinmarbin,Monywa
Ywangan,Myaung
Zay Yar Thi Ri,Myinmu
Zigon,Nanyun
,Nyaung-U
,Palè
,Paungbyin
,Pinlebu
,Salingyi
,Shwebo
,Tabayin
,Tamu
,Tigiyaing
,Wetlet
,Wuntho
,Ye-U
,Hopang
,Hsi-Hseng
,Hsipaw
,Kengtung
,Kunhing
,Kunlong
,Kutkai
,Lashio
,Mabein
,Mu-Se
,Namhsan
,Namtu
,Nyaung Shwe
,Pèkon
,Tachileik
,Tangyan
,Lai-hka
,Loi-leng
,Namkhan
,Mandalay
